Id|Name|Voided
1|MOMBASA|0
2|KWALE|0
3|KILIFI|0
4|TANA RIVER|0
5|LAMU|0
6|TAITA TAVETA|0
7|GARISSA|0
8|WAJIR|0
9|MANDERA|0
10|MARSABIT|0
11|ISIOLO|0
12|MERU|0
13|THARAKA - NITHI|0
14|EMBU|0
15|KITUI|0
16|MACHAKOS|0
17|MAKUENI|0
18|NYANDARUA|0
19|NYERI|0
20|KIRINYAGA|0
21|MURANGA|0
22|KIAMBU|0
23|TURKANA|0
24|WEST POKOT|0
25|SAMBURU|0
26|TRANS NZOIA|0
27|UASIN GISHU|0
28|ELGEYO/MARAKWET|0
29|NANDI|0
30|BARINGO|0
31|LAIKIPIA|0
32|NAKURU|0
33|NAROK|0
34|KAJIADO|0
35|KERICHO|0
36|BOMET|0
37|KAKAMEGA|0
38|VIHIGA|0
39|BUNGOMA|0
40|BUSIA|0
41|SIAYA|0
42|KISUMU|0
43|HOMA BAY|0
44|MIGORI|0
45|KISII|0
46|NYAMIRA|0
47|NAIROBI|0
