Id|Ref|Code|Display|SubCode|SubDisplay|SubRef|IsText|SubscriberSystemId
ab07a6e8-98b9-11e7-abc4-cec278b6b50a|Sex|M|M|16|M||0|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07a7a6-98b9-11e7-abc4-cec278b6b50a|Sex|F|F|17|F||0|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07ad3c-98b9-11e7-abc4-cec278b6b50a|MaritalStatus|S|Single|42|Single||1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07adfa-98b9-11e7-abc4-cec278b6b50a|MaritalStatus|MM|Married Monogamous|43|Married||1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07aeb8-98b9-11e7-abc4-cec278b6b50a|MaritalStatus|D|Divorced /Separated|44|Divorced||1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07b084-98b9-11e7-abc4-cec278b6b50a|MaritalStatus|O|Other|45|Other||1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07b156-98b9-11e7-abc4-cec278b6b50a|MaritalStatus|W|Widowed|189|Widowed||1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07b214-98b9-11e7-abc4-cec278b6b50a|MaritalStatus|MP|Married Polygamous|290|Married Polygamous||1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07b2d2-98b9-11e7-abc4-cec278b6b50a|MaritalStatus|MM|Married Monogamous|291|Married Monogamous||1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07b390-98b9-11e7-abc4-cec278b6b50a|MaritalStatus|O|Other|292|Cohabitating||1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07a864-98b9-11e7-abc4-cec278b6b50a|ObsTraceResult.Outcome|b25f0a50-852f-11e7-bb31-be2e44b06b34|Contacted|410|Contacted|tracingOutcome|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07a922-98b9-11e7-abc4-cec278b6b50a|ObsTraceResult.Outcome|b25f0a51-852f-11e7-bb31-be2e44b06b34|Contacted and Linked|411|Not Contacted|tracingOutcome|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07aaf8-98b9-11e7-abc4-cec278b6b50a|ObsTraceResult.Outcome|b25f102c-852f-11e7-bb31-be2e44b06b34|Not Contacted|412|Contacted and Linked|tracingOutcome|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07abb6-98b9-11e7-abc4-cec278b6b50a|ObsTraceResult.Mode|b25f136a-852f-11e7-bb31-be2e44b06b34|Phone|408|Phone|tracingType|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab07ac74-98b9-11e7-abc4-cec278b6b50a|ObsTraceResult.Mode|b25f159a-852f-11e7-bb31-be2e44b06b34|Physical|409|Physical|tracingType|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab0606d0-98b9-11e7-abc4-cec278b6b50a|ObsTestResult.Kit|B25F0456-852F-11E7-BB31-BE2E44B06B34|Determine|370|Determine|TestKitName|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab060ca2-98b9-11e7-abc4-cec278b6b50a|ObsTestResult.Kit|B25F0456-852F-11E7-BB31-BE2E44B06B34|Determine|378|Determine|TestKitname_2|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab060eaa-98b9-11e7-abc4-cec278b6b50a|ObsTestResult.Kit|B25F05AA-852F-11E7-BB31-BE2E44B06B34|First Response|371|First Response|TestKitName|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab061030-98b9-11e7-abc4-cec278b6b50a|ObsTestResult.Kit|B25F05AA-852F-11E7-BB31-BE2E44B06B34|First Response|379|First Response|TestKitname_2|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab061198-98b9-11e7-abc4-cec278b6b50a|ObsTestResult.Kit|B25F0776-852F-11E7-BB31-BE2E44B06B34|Other Kit|||||16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab061300-98b9-11e7-abc4-cec278b6b50a|ObsTestResult.Kit|B25F0776-852F-11E7-BB31-BE2E44B06B34|Other Kit|||||16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab06147c-98b9-11e7-abc4-cec278b6b50a|ObsTestResult.Result|B25EFD8A-852F-11E7-BB31-BE2E44B06B34|Positive|372|Positive|testResultsHTS|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab0615e4-98b9-11e7-abc4-cec278b6b50a|ObsTestResult.Result|B25EFD8A-852F-11E7-BB31-BE2E44B06B34|Positive|380|Positive|TestResultsHTS_2|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab061bfc-98b9-11e7-abc4-cec278b6b50a|ObsTestResult.Result|B25EFB78-852F-11E7-BB31-BE2E44B06B34|Negative|373|Negative|testResultsHTS|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab061d8c-98b9-11e7-abc4-cec278b6b50a|ObsTestResult.Result|B25EFB78-852F-11E7-BB31-BE2E44B06B34|Negative|381|Negative|TestResultsHTS_2|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab061ed6-98b9-11e7-abc4-cec278b6b50a|ObsTestResult.Result|B25F001E-852F-11E7-BB31-BE2E44B06B34|Invalid|374|Invalid|testResultsHTS|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
ab062034-98b9-11e7-abc4-cec278b6b50a|ObsTestResult.Result|B25F001E-852F-11E7-BB31-BE2E44B06B34|Invalid|382|Invalid|TestResultsHTS_2|1|16E23866-9D69-11E7-ABC4-CEC278B6B50A
